
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
53,Sven Butenschon,2001,2002,2,D,21,1,1,2,2,6,1,0,0,0,1,0,0,11,9.1,213,10:08
54,Ilja Byakin,1994,1994,1,D,44,8,20,28,-3,30,2,6,0,3,13,7,0,51,15.7,,
55,Brett Callighen,1980,1982,3,C,160,56,89,145,28,132,40,16,0,2,72,17,0,373,15.0,,
56,Colin Campbell,1980,1980,1,D,72,2,11,13,-18,196,2,0,0,0,11,0,0,80,2.5,,
57,Billy Carroll,1985,1986,2,C,70,8,11,19,2,22,8,0,0,1,11,0,0,44,18.2,,
58,Jimmy Carson,1989,1990,2,C,84,50,53,103,1,36,30,20,0,5,36,17,0,251,19.9,,
59,Anson Carter,2001,2003,3,RW,211,69,88,157,-7,68,39,29,1,11,55,32,1,459,15.0,4030,19:06
60,Ron Carter,1980,1980,1,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Rick Chartraw,1984,1984,1,D/RW,24,2,6,8,5,21,2,0,0,0,6,0,0,23,8.7,,
62,Jason Chimera,2001,2004,4,LW,130,19,17,36,-6,93,18,0,1,5,15,2,0,172,11.0,1362,10:28
63,Ron Chipperfield,1980,1980,1,C,67,18,19,37,-15,24,15,2,1,1,16,3,0,129,14.0,,
64,Taylor Chorney,2009,2012,4,D,59,1,6,7,-31,16,0,1,0,1,3,3,0,49,2.0,1001,16:58
65,Jeff Chychrun,1994,1994,1,D,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,,
66,Jozef Cierny,1994,1994,1,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,
67,Zdeno Ciger,1993,1996,4,LW,204,64,91,155,-32,55,43,21,0,6,55,35,1,419,15.3,,
68,Dean Clark,1984,1984,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
69,Dan Cleary,2000,2003,4,RW,220,31,55,86,8,127,26,4,1,5,42,13,0,289,10.7,2725,12:23
70,Glen Cochrane,1989,1989,1,D,12,0,0,0,-2,52,0,0,0,0,0,0,0,3,0.0,,
71,Paul Coffey,1981,1987,7,D,532,209,460,669,271,693,125,69,15,19,286,152,22,1620,12.9,,
72,Andrew Cogliano,2008,2011,4,C,328,57,89,146,-22,137,48,6,3,13,68,18,3,482,11.8,4879,14:52
73,Erik Cole,2009,2009,1,LW,63,16,11,27,-3,63,11,5,0,1,9,2,0,145,11.0,1076,17:04
74,Mike Comrie,2001,2010,4,C,235,74,80,154,-5,179,50,24,0,12,49,31,0,499,14.8,3748,15:57
75,Paul Comrie,2000,2000,1,C,15,1,2,3,-2,4,1,0,0,0,2,0,0,11,9.1,155,10:20
76,Pat Conacher,1984,1984,1,LW,45,2,8,10,-2,31,2,0,0,0,7,0,1,18,11.1,,
77,Cam Connor,1980,1980,1,RW,38,7,13,20,2,136,7,0,0,0,11,2,0,44,15.9,,
78,Philippe Cornet,2012,2012,1,LW,2,0,1,1,0,0,0,0,0,0,1,0,0,0,,21,10:34
79,Shayne Corson,1993,1995,3,LW,192,53,84,137,-44,413,29,22,2,5,52,29,3,466,11.4,,
80,Patrick Cote,2001,2001,1,LW,6,0,0,0,-2,18,0,0,0,0,0,0,0,0,,19,3:06
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
81,Ray Cote,1984,1985,2,C,15,0,0,0,-5,4,0,0,0,0,0,0,0,13,0.0,,
82,Geoff Courtnall,1988,1988,1,LW,12,4,4,8,1,15,4,0,0,1,4,0,0,32,12.5,,
83,Cory Cross,2003,2006,3,D,113,11,20,31,7,102,8,2,1,2,15,5,0,114,9.6,1938,17:09
84,Dan Currie,1991,1993,3,LW,17,1,0,1,-5,4,1,0,0,0,0,0,0,19,5.3,,
85,Mariusz Czerkawski,1996,1997,2,RW,113,38,38,76,7,24,32,6,0,4,27,11,0,261,14.6,,
86,Vincent Damphousse,1992,1992,1,C,80,38,51,89,10,53,25,12,1,8,29,20,2,247,15.4,,
87,Brandon Davidson,2015,2015,1,D,4,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,57,14:12
88,Greg de Vries,1996,1998,3,D,115,8,9,17,-21,144,7,1,0,0,8,0,1,92,8.7,,
89,Louie DeBrusk,1992,1997,6,LW,228,19,12,31,-38,797,19,0,0,2,11,1,0,108,17.6,,
90,Boyd Devereaux,1998,2000,3,C,175,15,31,46,4,49,13,0,2,6,31,0,0,174,8.6,1577,11:30
91,Bobby Dollas,1998,1998,1,D,30,2,5,7,6,22,2,0,0,0,2,3,0,27,7.4,,
92,Dave Donnelly,1988,1988,1,C,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,,
93,Jiri Dopita,2003,2003,1,C,21,1,5,6,-4,11,1,0,0,1,4,1,0,23,4.3,290,13:49
94,Jim Dowd,1999,2000,2,C,70,5,18,23,10,45,3,2,0,1,13,5,0,104,4.8,916,13:05
95,Leon Draisaitl,2015,2015,1,C,37,2,7,9,-17,4,1,1,0,1,6,1,0,49,4.1,470,12:41
96,Peter Driscoll,1980,1981,2,LW,60,3,8,11,-10,97,2,1,0,0,6,2,0,40,7.5,,
97,Donald Dufresne,1996,1997,2,D,64,1,7,8,-3,31,1,0,0,0,7,0,0,30,3.3,,
98,Radek Dvorak,2003,2006,3,RW,154,27,59,86,13,66,18,9,0,2,53,5,1,351,7.7,2574,16:42
99,Steve Dykstra,1988,1988,1,D,15,2,3,5,1,39,2,0,0,0,3,0,0,15,13.3,,
100,Ben Eager,2012,2014,3,LW,84,9,7,16,-4,134,9,0,0,3,7,0,0,87,10.3,724,8:37
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
101,Jordan Eberle,2011,2015,5,C,332,111,149,260,-41,84,81,27,3,16,105,44,0,811,13.7,6174,18:35
102,Todd Elik,1993,1994,2,C,18,1,9,10,1,14,1,0,0,0,7,2,0,33,3.0,,
103,Jim Ennis,1988,1988,1,D,5,1,0,1,0,10,0,1,0,0,0,0,0,9,11.1,,
104,Peter Eriksson,1990,1990,1,LW,20,3,3,6,-1,24,2,1,0,0,2,1,0,23,13.0,,
105,Len Esau,1995,1995,1,D,14,0,6,6,-8,15,0,0,0,0,4,2,0,17,0.0,,
