
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
57,Billy Boucher,1922,1927,6,RW,156,86,36,122,,339,,,,,,,,,,,
58,Bobby Boucher,1924,1924,1,C,11,1,0,1,,0,,,,,,,,,,,
59,Andre Boudrias,1964,1967,3,LW,7,1,5,6,,4,0,1,0,1,,,,,,,
60,Francis Bouillon,2000,2014,11,D,581,24,93,117,-24,424,17,6,1,5,69,22,2,562,4.3,10421,17:56
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Conrad Bourcier,1936,1936,1,C,6,0,0,0,,0,,,,,,,,,,,
62,Jean Bourcier,1936,1936,1,LW,9,0,1,1,,0,,,,,,,,,,,
63,Leo Bourgeault,1933,1935,3,D,67,5,4,9,,19,,,,,,,,,,,
64,Michael Bournival,2014,2015,2,LW,83,9,8,17,-7,20,8,1,0,2,6,2,0,99,9.1,799,9:37
65,Rene Bourque,2012,2015,4,RW,141,21,18,39,-27,97,15,5,1,3,15,3,0,266,7.9,2197,15:35
66,Drayson Bowman,2015,2015,1,C/LW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,6:30
67,Jack Bownass,1958,1958,1,D,4,0,1,1,,0,,,,,,,,,,,
68,Dustin Boyd,2011,2011,1,C,10,1,0,1,-6,2,1,0,0,0,0,0,0,8,12.5,98,9:50
69,Donald Brashear,1994,1997,4,LW,111,3,7,10,-17,358,3,0,0,1,7,0,0,56,5.4,,
70,Daniel Briere,2014,2014,1,C,69,13,12,25,1,30,9,4,0,1,10,2,0,118,11.0,881,12:46
71,Patrice Brisebois,1991,2009,16,D,896,87,284,371,5,546,45,41,1,18,145,137,2,1395,6.2,10997,21:46
72,Gerry Brisson,1963,1963,1,RW,4,0,2,2,,4,,,,,,,,,,,
73,Connie Broden,1956,1958,2,C,6,2,1,3,,2,,,,,,,,,,,
74,Brad Brown,1997,1999,2,D,13,0,0,0,-1,43,0,0,0,0,0,0,0,0,,30,6:02
75,George Brown,1937,1939,3,C,79,6,22,28,,34,,,,,,,,,,,
76,Jeff Brubaker,1982,1982,1,LW,3,0,1,1,1,32,0,0,0,0,1,0,0,3,0.0,,
