
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
394,Gary Roberts,1987,1996,10,LW,585,257,248,505,225,1736,199,51,7,27,201,45,2,1254,20.5,,
395,Dave Roche,1999,2000,2,LW,38,3,3,6,-2,49,2,1,0,2,3,0,0,33,9.1,278,7:19
396,Leon Rochefort,1973,1974,2,RW,110,19,30,49,-16,23,17,2,0,1,27,3,0,237,8.0,,
397,Larry Romanchych,1973,1977,5,RW,288,68,95,163,-37,100,49,19,0,8,68,27,0,532,12.8,,
398,Darcy Rota,1979,1980,2,LW,57,19,13,32,6,70,19,0,0,1,12,1,0,97,19.6,,
399,Andre Roy,2009,2009,1,RW,44,3,0,3,-1,83,3,0,0,1,0,0,0,26,11.5,242,5:29
400,Kris Russell,2014,2015,2,D,123,8,41,49,-1,28,4,4,0,1,27,13,1,178,4.5,2845,23:07
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
401,Phil Russell,1979,1983,5,D,322,29,103,132,40,469,24,3,2,4,88,10,5,462,6.3,,
402,Ken Sabourin,1989,1991,3,D,27,1,4,5,13,72,1,0,0,0,4,0,0,14,7.1,,
403,Oleg Saprykin,2000,2004,5,LW,187,29,47,76,4,132,22,7,0,1,35,12,0,373,7.8,2379,12:43
404,Yves Sarault,1996,1996,1,LW,11,2,1,3,-2,4,2,0,0,1,1,0,0,12,16.7,,
405,Cory Sarich,2008,2013,6,D,379,10,49,59,22,462,10,0,0,2,43,2,4,285,3.5,6547,17:16
406,Marc Savard,2000,2003,4,C,221,60,94,154,-35,158,38,21,1,11,62,31,1,542,11.1,3892,17:36
407,Brad Schlegel,1994,1994,1,D,26,1,6,7,-4,4,1,0,0,0,5,1,0,24,4.2,,
408,Paxton Schulte,1997,1997,1,LW,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,,
409,Darrel Scoville,2000,2000,1,D,6,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,56,9:17
410,Rod Seiling,1979,1979,1,D,36,0,4,4,8,12,0,0,0,0,3,0,1,28,0.0,,
411,Devin Setoguchi,2015,2015,1,RW,12,0,0,0,-7,4,0,0,0,0,0,0,0,12,0.0,146,12:08
412,Dave Shand,1977,1980,4,D,288,14,63,77,68,324,13,0,1,2,62,1,0,290,4.8,,
413,Darryl Shannon,2000,2000,1,D,27,1,8,9,-13,22,1,0,0,0,4,4,0,46,2.2,636,23:33
414,Jeff Shantz,1999,2002,4,C,256,33,53,86,-8,151,23,9,1,4,43,9,1,314,10.5,4049,15:48
415,Neil Sheehy,1984,1992,6,D,222,13,34,47,24,725,12,1,0,0,34,0,0,193,6.7,,
416,Drew Shore,2015,2015,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,12:26
417,Martin Simard,1991,1992,2,RW,37,1,5,6,-4,172,0,1,0,0,5,0,0,18,5.6,,
418,Chris Simon,2004,2006,2,LW,85,11,16,27,1,119,8,3,0,3,13,3,0,107,10.3,968,11:23
419,Bobby Simpson,1977,1978,2,LW,127,23,18,41,2,94,23,0,0,3,16,2,0,209,11.0,,
420,Todd Simpson,1996,1999,4,D,214,4,26,30,-6,500,4,0,0,1,24,0,2,191,2.1,1264,17:19
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
421,Fredrik Sjostrom,2010,2010,1,RW,46,1,5,6,2,8,1,0,0,0,5,0,0,33,3.0,438,9:31
422,Jarrod Skalde,1996,1996,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
423,Brian Skrudland,1993,1993,1,C,16,2,4,6,3,10,2,0,0,0,3,0,1,22,9.1,,
424,Blake Sloan,2002,2003,2,RW,74,2,10,12,-4,32,2,0,0,0,10,0,0,63,3.2,916,12:22
425,Ladislav Smid,2014,2015,2,D,87,1,6,7,-16,75,1,0,0,0,6,0,0,56,1.8,1452,16:41
426,Brad Smith,1980,1981,2,RW,49,7,4,11,-7,69,6,1,0,1,4,0,0,51,13.7,,
427,Derek Smith,2012,2014,3,D,83,2,11,13,-16,24,2,0,0,1,7,4,0,74,2.7,1152,13:52
428,Mark Smith,2008,2008,1,C,54,1,3,4,-6,59,1,0,0,0,3,0,0,27,3.7,320,5:56
429,Steve Smith,1999,2001,3,D,102,1,20,21,-12,139,1,0,0,0,18,2,0,55,1.8,2225,21:48
430,Greg Smyth,1992,1993,2,D,42,2,3,5,9,110,1,1,0,0,3,0,0,24,8.3,,
431,Martin Sonnenberg,2004,2004,1,LW,5,0,0,0,-2,2,0,0,0,0,0,0,0,7,0.0,44,8:51
432,Lee Sorochan,1999,2000,2,D,3,0,0,0,-3,0,0,0,0,0,0,0,0,5,0.0,35,11:42
433,Martin St. Louis,1999,2000,2,RW,69,4,16,20,-7,32,4,0,0,1,14,1,1,87,4.6,930,13:28
434,Claude St. Sauveur,1976,1976,1,C,79,24,24,48,-6,23,13,11,0,2,16,8,0,171,14.0,,
435,Steve Staios,2010,2011,2,D,57,4,9,13,-2,40,2,1,1,0,8,1,0,39,10.3,905,15:52
436,Matt Stajan,2010,2015,6,C,309,39,91,130,-10,159,37,0,2,6,80,6,5,332,11.7,4744,15:21
437,Morris Stefaniw,1973,1973,1,C,13,1,1,2,-3,2,0,0,1,0,1,0,0,16,6.3,,
438,Lee Stempniak,2012,2014,3,RW,160,31,52,83,-21,56,23,6,2,4,36,9,7,387,8.0,2841,17:45
439,Ron Stern,1991,1997,7,RW,396,59,66,125,12,1288,55,1,3,7,63,1,2,529,11.2,,
440,John Stewart,1973,1974,2,LW,142,35,32,67,-6,71,30,5,0,6,25,7,0,311,11.3,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
441,Tony Stiles,1984,1984,1,D,30,2,7,9,14,20,2,0,0,0,6,0,1,19,10.5,,
442,Cory Stillman,1995,2001,7,LW,393,109,126,235,-27,192,64,37,8,16,77,48,1,811,13.4,3140,17:32
443,Ben Street,2013,2014,2,C,19,0,2,2,-3,4,0,0,0,0,1,0,1,30,0.0,219,11:32
444,David Struch,1994,1994,1,C,4,0,0,0,-2,4,0,0,0,0,0,0,0,3,0.0,,
445,Brad Stuart,2007,2007,1,D,27,0,5,5,12,18,0,0,0,0,5,0,0,35,0.0,616,22:48
446,Mike Sullivan,1994,1997,4,C,205,20,28,48,-17,54,14,0,6,5,25,0,3,228,8.8,,
447,Niklas Sundblad,1996,1996,1,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,,
448,Gary Suter,1986,1994,9,D,617,128,436,564,93,872,71,54,3,12,175,255,6,1739,7.4,,
449,Brett Sutter,2009,2011,3,LW,18,1,1,2,-4,12,1,0,0,0,0,0,1,18,5.6,169,9:24
450,Ron Sutter,2001,2001,1,C,21,1,3,4,4,12,1,0,0,0,3,0,0,16,6.3,248,11:49
451,Bob Sweeney,1996,1996,1,C/RW,6,1,1,2,3,6,1,0,0,0,1,0,0,8,12.5,,
452,Tim Sweeney,1991,1992,2,LW,53,8,11,19,1,12,8,0,0,5,7,1,3,56,14.3,,
453,Dean Talafous,1975,1975,1,RW,18,1,4,5,-7,13,1,0,0,0,4,0,0,22,4.5,,
454,Steve Tambellini,1984,1985,2,C,120,34,20,54,0,20,30,2,2,4,20,0,0,202,16.8,,
455,Alex Tanguay,2007,2013,5,LW,342,86,198,284,17,166,68,14,4,9,130,66,2,476,18.1,6449,18:51
456,Rocky Thompson,1998,1999,2,D,15,0,0,0,0,86,0,0,0,0,0,0,0,3,0.0,6,2:01
457,German Titov,1994,1998,5,LW,345,107,121,228,22,142,57,42,8,13,80,34,7,780,13.7,,
458,Daniel Tkaczuk,2001,2001,1,C,19,4,7,11,1,14,3,1,0,0,6,1,0,34,11.8,233,12:14
459,John Tonelli,1986,1988,3,LW,161,40,76,116,7,166,23,17,0,5,57,19,0,296,13.5,,
460,Pavel Torgaev,1996,2000,2,LW,50,6,12,18,2,18,6,0,0,0,11,1,0,62,9.7,134,14:50
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
461,Randy Turnbull,1982,1982,1,D,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,,,
462,Garry Unger,1980,1980,1,C,79,17,16,33,2,39,16,1,0,3,13,3,0,170,10.0,,
463,Eric Vail,1974,1982,9,LW,539,206,246,452,59,246,150,54,2,29,181,63,2,1302,15.8,,
464,Bryce Van Brabant,2014,2014,1,LW,6,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,55,9:09
465,David Van Der Gulik,2009,2009,1,RW,6,0,2,2,-1,0,0,0,0,0,2,0,0,11,0.0,51,8:28
466,Jim Vandermeer,2008,2009,2,D,66,1,8,9,5,147,1,0,0,0,8,0,0,54,1.9,1135,17:12
467,Sergei Varlamov,1998,2000,2,LW,8,3,0,3,0,0,3,0,0,1,0,0,0,11,27.3,73,10:21
468,Vesa Viitakoski,1994,1996,3,LW,23,2,4,6,-2,8,0,2,0,0,2,2,0,28,7.1,,
469,Mickey Volcan,1984,1984,1,D,19,1,4,5,-2,18,1,0,0,1,4,0,0,13,7.7,,
470,Howard Walker,1983,1983,1,D,3,0,0,0,0,7,0,0,0,0,0,0,0,2,0.0,,
471,Wes Walz,1994,1995,2,C,92,17,39,56,27,27,12,5,0,1,30,9,0,152,11.2,,
472,Gord Wappel,1980,1982,3,D,20,1,1,2,-2,10,1,0,0,0,1,0,0,12,8.3,,
473,Ed Ward,1995,1999,5,RW,215,16,24,40,-12,284,16,0,0,1,24,0,0,175,9.1,546,8:02
474,Rhett Warrener,2004,2008,4,D,231,11,26,37,19,239,7,1,3,2,19,2,5,168,6.5,4179,18:05
475,Brad Werenka,2000,2001,2,D,45,2,5,7,-5,37,2,0,0,0,3,2,0,43,4.7,891,19:47
476,Kevin Westgarth,2014,2014,1,RW,36,4,3,7,-2,64,4,0,0,1,3,0,0,25,16.0,253,7:01
477,Ian White,2010,2011,2,D,43,6,12,18,-3,18,4,2,0,0,7,5,0,77,7.8,907,21:05
478,Dennis Wideman,2013,2015,3,D,148,22,54,76,-26,58,12,10,0,3,33,19,2,307,7.2,3522,23:47
479,Jason Wiemer,1998,2006,5,C,252,34,32,66,-41,567,27,7,0,7,26,6,0,348,9.8,3176,13:14
480,Clarke Wilm,1999,2002,4,C,303,31,42,73,-7,250,20,5,6,0,38,4,0,343,9.0,4024,13:16
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
