
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
51,Chris Dahlquist,1995,1996,2,D,70,2,8,10,-37,50,1,1,0,0,8,0,0,58,3.4,,
52,Alexandre Daigle,1994,1998,5,C,301,74,98,172,-137,119,56,17,1,11,54,43,1,621,11.9,,
53,Kaspars Daugavins,2010,2013,3,LW,85,6,8,14,-9,21,6,0,0,1,5,2,1,102,5.9,962,11:19
54,Evgeny Davydov,1994,1995,2,LW,43,6,9,15,-4,38,5,1,0,0,9,0,0,46,13.0,,
55,Greg de Vries,2004,2004,1,D,13,0,1,1,0,6,0,0,0,0,0,1,0,12,0.0,232,17:51
56,Pavol Demitra,1994,1996,3,LW,59,12,14,26,-14,10,8,4,0,1,9,5,0,97,12.4,,
57,Gord Dineen,1993,1994,2,D,109,2,25,27,-71,119,1,1,0,0,15,8,2,98,2.0,,
58,Kevin Dineen,2000,2000,1,RW,67,4,8,12,2,57,4,0,0,1,8,0,0,71,5.6,638,9:30
59,Bobby Dollas,2000,2000,1,D,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,16,16:10
60,Ted Donato,1999,1999,1,LW,13,3,2,5,2,10,2,1,0,0,2,0,0,16,18.8,145,11:10
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Shean Donovan,2008,2010,3,RW,177,12,15,27,-9,147,12,0,0,4,15,0,0,173,6.9,1517,8:34
62,Ted Drury,1996,1996,1,C,42,9,7,16,-19,54,8,1,0,1,5,2,0,80,11.3,,
63,Steve Duchesne,1996,1997,2,D,140,31,52,83,-32,80,12,17,2,5,23,29,0,371,8.4,,
64,David Dziurzynski,2013,2013,1,C,12,2,0,2,-1,13,2,0,0,0,0,0,0,20,10.0,151,12:32
65,Patrick Eaves,2006,2008,3,RW,157,38,33,71,8,64,27,9,2,6,27,6,0,289,13.1,1947,12:23
66,Pat Elynuik,1995,1996,2,RW,70,4,9,13,-9,67,4,0,0,0,6,3,0,85,4.7,,
67,Nelson Emerson,1999,1999,1,RW,3,1,1,2,-1,2,1,0,0,0,0,1,0,10,10.0,51,17:05
68,John Emmons,2000,2001,2,C,51,1,1,2,-7,26,1,0,0,0,1,0,0,31,3.2,393,7:42
