
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
51,Mike Casselman,1996,1996,1,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,,
52,Dino Ciccarelli,1998,1999,2,RW,42,11,12,23,-3,55,4,7,0,2,7,5,0,80,13.8,186,13:15
53,Joe Cirella,1994,1995,2,D,83,1,10,11,1,120,1,0,0,0,8,0,2,76,1.3,,
54,Joey Crabb,2014,2014,1,RW,9,0,1,1,-2,7,0,0,0,0,1,0,0,5,0.0,129,14:22
55,Mark Cullen,2012,2012,1,C,6,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,48,7:59
56,Matt Cullen,2003,2004,2,C,86,12,19,31,-6,46,8,3,1,3,14,2,3,129,9.3,1237,14:23
57,Jassen Cullimore,2008,2009,2,D,133,5,18,23,11,75,5,0,0,1,17,1,0,107,4.7,2317,17:25
58,Evgeni Dadonov,2010,2012,3,RW,55,10,10,20,-5,16,9,1,0,0,10,0,0,85,11.8,717,13:01
59,Pierre Dagenais,2002,2003,2,RW,35,7,1,8,-6,8,5,2,0,0,1,0,0,52,13.5,342,9:46
60,Jeff Daniels,1994,1995,2,LW,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Evgeny Davydov,1994,1994,1,LW,21,2,6,8,-3,8,2,0,0,0,6,0,0,22,9.1,,
62,Gilbert Dionne,1996,1996,1,LW,5,1,2,3,0,0,1,0,0,0,2,0,0,12,8.3,,
63,Gaetan Duchesne,1995,1995,1,LW,13,1,2,3,3,0,1,0,0,0,2,0,0,14,7.1,,
64,Mike Duco,2010,2011,2,LW,12,0,0,0,-4,60,0,0,0,0,0,0,0,6,0.0,94,7:51
65,Dave Duerden,2000,2000,1,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3,1:34
66,Radek Dvorak,1996,2011,9,RW,613,113,155,268,8,216,92,5,16,14,137,14,4,1137,9.9,6416,16:17
67,Dallas Eakins,1994,1998,3,D,41,0,2,2,3,79,0,0,0,0,1,0,1,21,0.0,,
68,Aaron Ekblad,2015,2015,1,D,56,9,23,32,5,20,6,3,0,3,18,5,0,121,7.4,1247,22:16
69,Keaton Ellerby,2010,2013,4,D,125,2,15,17,-21,70,2,0,0,0,14,1,0,114,1.8,1741,13:55
70,Steve Eminger,2009,2009,1,D,9,1,0,1,1,6,1,0,0,1,0,0,0,13,7.7,142,15:49
71,David Emma,2001,2001,1,C,6,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,44,7:23
72,Anders Eriksson,2001,2001,1,D,60,0,21,21,2,28,0,0,0,0,11,10,0,80,0.0,1262,21:02
73,Brad Ference,2000,2003,4,D,167,4,24,28,-19,432,4,0,0,0,15,8,1,121,3.3,2897,17:20
74,Craig Ferguson,1997,2000,2,C,6,0,0,0,-3,0,0,0,0,0,0,0,0,7,0.0,17,5:34
75,Craig Fisher,1997,1997,1,C,4,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,,
76,Tom Fitzgerald,1994,1998,5,RW,353,54,67,121,-6,281,41,1,12,5,61,4,2,603,9.0,,
77,Tomas Fleischmann,2012,2015,4,LW,257,53,89,142,-25,72,42,10,1,8,55,33,1,622,8.5,4526,17:36
78,Mike Foligno,1994,1994,1,RW,39,4,5,9,7,49,4,0,0,0,5,0,0,32,12.5,,
79,Michael Frolik,2009,2011,3,LW,213,50,67,117,8,81,43,7,0,4,46,21,0,535,9.3,3437,16:08
80,Dave Gagner,1998,1999,2,C,114,24,38,62,-28,94,16,7,1,1,21,17,0,215,11.2,490,13:36
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
81,Johan Garpenlov,1995,1999,5,LW,265,47,74,121,-11,133,37,9,1,8,49,24,1,355,13.2,847,13:14
82,Jason Garrison,2009,2012,4,D,190,23,36,59,9,81,14,9,0,6,28,7,1,308,7.5,4054,21:20
83,Martin Gelinas,2006,2007,2,LW,164,31,54,85,34,116,20,11,0,4,47,7,0,357,8.7,2412,14:42
84,Tom Gilbert,2014,2014,1,D,73,3,25,28,-5,18,1,2,0,1,21,4,0,93,3.2,1558,21:20
85,Randy Gilhen,1994,1994,1,C,20,4,4,8,1,16,4,0,0,0,3,1,0,52,7.7,,
86,Matt Gilroy,2014,2014,1,D,16,1,1,2,-2,6,1,0,0,0,1,0,0,27,3.7,260,16:15
87,Tanner Glass,2008,2009,2,LW,44,1,1,2,-5,46,1,0,0,0,1,0,0,12,8.3,202,4:34
88,Rob Globke,2006,2008,3,C,46,1,1,2,-6,8,1,0,0,0,1,0,0,37,2.7,316,6:52
89,Marcel Goc,2012,2014,3,C,161,31,38,69,-8,49,24,7,0,3,33,5,0,294,10.5,2825,17:32
