
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
158,Cody Kunyk,2014,2014,1,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,10:12
159,Pierre-Cedric Labrie,2012,2014,3,LW,46,2,3,5,-4,65,2,0,0,0,3,0,0,23,8.7,335,7:16
160,Jason Lafreniere,1993,1994,2,C,12,3,3,6,-7,4,2,1,0,0,1,2,0,19,15.8,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
161,Daymond Langkow,1996,1999,4,C,173,27,34,61,-9,112,20,6,1,3,28,6,0,370,7.3,378,17:10
162,Mario Larocque,1999,1999,1,D,5,0,0,0,-4,16,0,0,0,0,0,0,0,3,0.0,63,12:33
163,Matt Lashoff,2009,2010,2,D,17,0,7,7,-9,31,0,0,0,0,4,3,0,21,0.0,330,19:23
164,Janne Laukkanen,2003,2003,1,D,2,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,36,18:14
165,Jay Leach,2008,2008,1,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,4:37
166,Vincent Lecavalier,1999,2013,14,C,1037,383,491,874,-116,746,258,112,13,60,296,185,10,3166,12.1,19964,19:15
167,Grant Ledyard,2001,2002,2,D,67,3,5,8,-10,24,3,0,0,0,2,3,0,39,7.7,1029,15:21
168,Brian Lee,2012,2013,2,D,42,0,8,8,-19,24,0,0,0,0,8,0,0,30,0.0,648,15:25
169,Junior Lessard,2008,2008,1,RW/C,19,1,1,2,-5,9,1,0,0,0,1,0,0,18,5.6,183,9:38
170,Chris Lipuma,1993,1996,4,D,64,0,9,9,-3,124,0,0,0,0,9,0,0,46,0.0,,
171,Brad Lukowich,2003,2008,3,D,208,7,34,41,18,90,7,0,0,1,30,3,1,166,4.2,3691,17:44
172,Mike Lundin,2008,2011,4,D,224,4,29,33,-8,50,4,0,0,0,27,1,1,138,2.9,4017,17:55
173,Craig MacDonald,2008,2008,1,LW,65,2,9,11,-10,16,2,0,0,0,9,0,0,84,2.4,707,10:52
174,Marek Malik,2009,2009,1,D,42,0,5,5,-3,36,0,0,0,0,5,0,0,22,0.0,805,19:09
175,Troy Mallette,1998,1998,1,LW,3,0,0,0,0,7,0,0,0,0,0,0,0,0,,,
176,Ryan Malone,2009,2014,6,LW,342,92,109,201,-28,388,61,30,1,14,74,34,1,721,12.8,5655,16:32
177,Steve Maltais,1993,1993,1,LW,63,7,13,20,-20,35,3,4,0,1,8,5,0,96,7.3,,
