
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
322,Randy Pierce,1978,1983,6,RW,243,53,71,124,-61,206,44,8,1,10,54,16,1,509,10.4,,
323,Tuomas Pihlman,2004,2007,3,LW,15,1,1,2,-1,12,1,0,0,0,1,0,0,15,6.7,138,9:10
324,Ilkka Pikkarainen,2010,2010,1,RW,31,1,3,4,-3,10,1,0,0,0,3,0,0,26,3.8,252,8:08
325,Walt Poddubny,1990,1992,3,LW,54,9,18,27,3,44,8,1,0,0,12,6,0,81,11.1,,
326,Alexei Ponikarovsky,2012,2013,2,LW,63,9,16,25,10,16,9,0,0,2,16,0,0,99,9.1,891,14:08
327,Jukka Porvari,1982,1983,2,RW,39,3,9,12,-23,4,3,0,0,0,7,2,0,55,5.5,,
328,Lynn Powis,1975,1975,1,C,73,11,20,31,-54,19,8,3,0,0,8,12,0,149,7.4,,
329,Tracy Pratt,1977,1977,1,D,66,1,10,11,-27,110,1,0,0,0,9,1,0,53,1.9,,
330,Rich Preston,1985,1986,2,RW,151,31,37,68,-21,91,27,4,0,3,31,6,0,223,13.9,,
331,Nelson Pyatt,1977,1980,4,C,189,39,36,75,-62,32,36,3,0,4,34,2,0,299,13.0,,
332,Joel Quenneville,1980,1983,4,D,244,25,53,78,-87,213,20,4,1,1,31,20,2,321,7.8,,
333,Deron Quint,2000,2000,1,D,4,1,0,1,-2,2,1,0,0,0,0,0,0,6,16.7,66,16:25
334,Karel Rachunek,2008,2008,1,D,47,4,9,13,3,40,4,0,0,0,7,2,0,68,5.9,911,19:23
335,Brian Rafalski,2000,2007,7,D,541,44,267,311,100,180,24,19,1,13,145,120,2,977,4.5,12371,22:52
336,Rob Ramage,1980,1982,3,D,234,41,91,132,-133,529,18,22,1,6,43,48,0,777,5.3,,
337,Erik Rasmussen,2004,2007,3,LW/C,207,15,18,33,-2,98,14,1,0,0,17,1,0,193,7.8,1943,9:23
338,Pascal Rheaume,1997,2006,3,C,35,5,1,6,-2,12,4,0,1,1,1,0,0,39,12.8,359,10:53
339,Stephane Richer,1992,2002,6,RW,360,147,136,283,28,125,113,23,11,30,103,32,1,1084,13.6,122,12:09
340,Steve Richmond,1987,1987,1,D,44,1,7,8,-12,143,1,0,0,0,6,0,1,31,3.2,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
341,Rene Robert,1980,1981,2,RW,97,36,46,82,-33,109,22,14,0,0,25,21,0,314,11.5,,
342,Phil Roberto,1976,1977,2,RW,59,8,20,28,-22,65,5,3,0,0,16,4,0,127,6.3,,
343,Brian Rolston,1995,2011,9,C,557,130,151,281,34,161,86,34,10,26,106,44,1,1470,8.8,5219,17:16
344,Steve Rooney,1989,1989,1,LW,25,3,1,4,-9,79,3,0,0,1,1,0,0,23,13.0,,
345,Randy Rota,1975,1977,3,C/LW,152,27,32,59,-77,44,22,5,0,1,29,3,0,328,8.2,,
346,Reijo Ruotsalainen,1990,1990,1,D,31,2,5,7,-4,14,1,1,0,0,3,2,0,52,3.8,,
347,Mike Rupp,2003,2009,5,C,289,23,23,46,-21,348,19,4,0,5,19,4,0,303,7.6,2480,8:34
348,Phil Russell,1984,1986,3,D,172,15,41,56,-58,257,14,0,1,0,33,7,1,218,6.9,,
349,Tuomo Ruutu,2014,2015,2,C/LW,72,9,9,18,1,32,8,1,0,1,9,0,0,75,12.0,887,12:19
350,Michael Ryder,2014,2015,2,RW,125,24,28,52,-8,48,19,4,1,2,22,6,0,250,9.6,1930,15:26
351,Jason Ryznar,2006,2006,1,LW,8,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,43,5:19
352,Don Saleski,1979,1980,2,RW,67,10,8,18,-27,27,10,0,0,0,7,0,1,118,8.5,,
353,Anssi Salmela,2009,2011,3,D,74,2,11,13,-15,20,1,0,1,1,11,0,0,104,1.9,1223,16:31
354,Andreas Salomonsson,2002,2002,1,RW,39,4,5,9,-12,22,3,1,0,1,5,0,0,58,6.9,527,13:30
