
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
52,Andrew Campbell,2015,2015,1,D,13,0,1,1,-7,4,0,0,0,0,1,0,0,6,0.0,214,16:28
53,Scott Campbell,1980,1981,2,D,77,4,21,25,-36,191,4,0,0,2,15,5,1,104,3.8,,
54,Wade Campbell,1983,1986,4,D,185,9,23,32,-25,245,8,0,1,0,22,1,0,166,5.4,,
55,Daniel Carcillo,2007,2009,3,LW,129,20,21,41,-19,572,12,8,0,1,15,6,0,233,8.6,1641,12:43
56,Randy Carlyle,1984,1993,10,D,564,80,226,306,-18,736,52,28,0,12,115,101,10,1039,7.7,,
57,Keith Carney,1998,2001,4,D,266,9,54,63,46,253,6,1,2,1,49,4,1,218,4.1,5317,21:36
58,Dave Chartier,1981,1981,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
59,Denis Chasse,1996,1996,1,RW,15,0,0,0,-4,12,0,0,0,0,0,0,0,3,0.0,,
60,Kyle Chipchura,2012,2015,4,C,225,16,45,61,-3,199,16,0,0,0,45,0,0,170,9.4,2347,10:25
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
61,Dave Christian,1980,1983,4,RW,230,79,130,209,-105,75,55,22,2,5,71,57,2,568,13.9,,
62,Jeff Christian,1998,1998,1,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,
63,Jason Cirone,1992,1992,1,C,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,,
64,Dan Cleary,2004,2004,1,RW,68,6,11,17,-8,42,3,0,3,0,10,1,0,83,7.2,898,13:12
65,Danton Cole,1990,1992,3,C/RW,120,21,17,38,-30,56,16,2,3,1,15,2,0,176,11.9,,
66,Mike Comrie,2004,2007,3,C,132,45,50,95,-5,91,29,15,1,6,26,23,1,293,15.4,2179,16:30
67,Chris Conner,2013,2013,1,RW,12,1,1,2,3,2,1,0,0,0,1,0,0,15,6.7,137,11:22
68,Bob Corkum,1997,1999,3,C,233,30,30,60,-23,85,24,0,6,3,27,1,2,370,8.1,1328,17:15
69,Ross Cory,1980,1981,2,D,51,2,10,12,-24,41,1,1,0,0,7,3,0,48,4.2,,
70,B.J. Crombeen,2015,2015,1,RW,38,1,2,3,-5,53,1,0,0,0,2,0,0,25,4.0,292,7:41
71,Shawn Cronin,1990,1992,3,D,193,1,13,14,-37,703,1,0,0,0,12,0,1,95,1.1,,
72,David Cullen,2001,2002,2,D,16,0,0,0,-4,6,0,0,0,0,0,0,0,3,0.0,198,12:21
73,Jim Cummins,1998,1999,2,RW,75,1,7,8,-4,237,1,0,0,0,7,0,0,36,2.8,391,7:07
